x i1 i2 i3 i4 i5 i6 i7 i8
0.900000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000626 0.000773 0.000923
0.910000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000626 0.000773 0.000923
0.920000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000626 0.000773 0.000923
0.930000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000773 0.000923
0.940000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000773 0.000923
0.950000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000773 0.000923
0.960000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
0.970000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
0.980000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
0.990000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
1.000000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
1.010000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
1.020000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
1.030000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000627 0.000774 0.000924
1.040000 0.000000 0.000095 0.000215 0.000347 0.000484 0.000628 0.000774 0.000924
1.050000 0.000000 0.000095 0.000215 0.000347 0.000485 0.000628 0.000775 0.000925
1.060000 0.000000 0.000095 0.000215 0.000347 0.000485 0.000628 0.000775 0.000925
1.070000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000925
